ID,Name,All Deaths,"All Causes - Age-adjusted Death Rate (per 1,000)",Heart Disease - Number of deaths,Heart Disease - Age-adjusted Death Rate,Cancer - Number of deaths,Cancer - Age-adjusted Death Rate,Flu/pneumonia - Number of deaths,Flu/pneumonia - Age-adjusted Death Rate,Diabetes Mellitus  - Number of deaths,Diabetes Mellitus - Age-adjusted Death Rate,Lower respiratory diseases - Number of deaths,Lower Respiratory Diseases Age-adjusted Death Rate,Stroke - Number of deaths,Stroke - Age-adjusted Death Rate,Accidents - excluding drug poisoning - Number of deaths,Accidents excluding Drug Poisoning - Age-adjusted Death Rate,Hypertension - Number of deaths,Hypertension - Age-adjusted Death Rate,Drug related  - Number of deaths,Drug-related - Age-adjusted Death Rate,HIV  - Number of deaths,HIV - Age-adjusted Death Rate,Alzeheimer's disease - Number of deaths,Alzheimer's Disease - Age-adjusted Death Rate,Liver disease - Number of deaths,Liver Disease - Age-adjusted Death Rate,Suicide - Number of deaths,Suicide - Age-adjusted Death Rate,Homicide - Number of deaths,Homicide - Age-adjusted Death Rate,Nephritis - Number of deaths,Nephritis - Age-adjusted Death Rate,Septicemia - Number of deaths,Septicemia - Age-adjusted Death Rate,Viral Hepatitis  - Number of deaths,Viral hepatitis - Age-adjusted Death Rate,Atherosclerosis  - Number of deaths,Athersclerosis - Age-adjusted Death Rate
108,Upper East Side,6658,4.3,2126,130.9,1901,127.1,342,20.8,97,6.4,231,14.4,232,14.4,111,7.6,94,5.9,,,,,133,7.8,,,92,6.8,,,,,,,,,,
109,Morningside Heights and Hamilton Heights,3056,5.9,925,176.1,733,146.6,118,22.4,130,25.6,90,17.4,113,21.9,,,82,15.7,43,8,78,14.7,59,10.7,,,,,,,,,,,,,,
110,Central Harlem,4385,8.2,1251,237.8,1059,201.3,177,33.7,184,34.7,139,26.7,144,27.2,,,122,22.9,97,15.8,124,20.2,,,,,,,62,10.4,,,,,,,,
111,East Harlem,4782,7.8,1279,206.3,1099,180.2,181,29.2,216,35.3,190,30.9,149,24,,,135,21.6,103,16.6,172,28,89,13.8,,,,,,,,,,,,,,
112,Washington Heights and Inwood,5019,5,1465,146.2,1255,127.3,227,22.4,154,15.6,171,17.4,179,18.1,90,9.1,148,14.6,70,6.9,,,183,17.5,,,,,,,,,,,,,,
201,Mott Haven and Melrose,2665,7.4,683,201.8,559,154.8,100,29.3,114,31.9,105,30,100,29.8,55,14.4,,,89,20.9,111,26.4,,,,,,,64,13.8,,,,,55,14,,
202,Hunts Point and Longwood,1341,6.8,384,204.2,292,150.8,55,29.2,55,28.6,43,22,34,18.1,32,14,,,45,18.7,42,17.3,,,,,,,29,10.5,,,,,,,,
203,Morrisania and Crotona,2401,8.1,562,210.1,545,184.8,113,41.4,116,40.7,95,33.4,73,27.1,,,52,20.1,68,17.9,152,42.1,,,,,,,61,14.7,,,,,,,,
204,Highbridge and Concourse,3972,6.9,1043,193.9,909,155.9,217,41.5,169,30.8,148,25.7,110,20.1,72,10.7,92,17.9,100,14,209,30,,,,,,,,,,,,,,,,
205,Fordham and University Heights,2810,6.3,680,172.3,615,137.4,142,37.4,112,26.7,102,23.8,105,25.7,64,11.3,,,103,16.3,165,27,,,,,,,64,9.2,,,,,,,,
206,Belmont and East Tremont,2257,7.5,584,208.7,504,167.7,94,33.9,130,44.6,81,27.5,66,23.5,48,13.8,44,16.5,84,22.5,84,23.7,,,,,,,,,,,,,,,,
207,Kingsbridge Heights and Bedford,3786,6.8,1229,232.1,784,143.5,159,30.1,148,27.3,167,31.7,132,24.3,86,14,75,14.5,88,12.7,98,14,,,,,,,,,,,,,,,,
208,Riverdale and Fieldston,4985,6,2123,225.6,989,141.6,235,26.6,131,17.7,151,18.4,123,15.3,59,8.1,128,14.1,,,,,109,10.8,,,,,,,,,,,,,41,3.4
209,Parkchester and Soundview,4966,6.5,1508,204.2,1212,154.9,228,31.6,205,26.9,150,19.9,128,17,79,9.4,105,14.1,103,11.7,91,10.2,,,,,,,,,,,,,,,,
210,Throgs Neck and Co-op City,5082,6,1759,198,1374,168.5,247,27.7,147,17.6,218,25.7,134,15.1,83,11.7,85,9.6,61,9.9,,,79,8,,,,,,,,,,,,,,
211,Morris Park and Bronxdale,4563,6.9,1575,226.7,1016,159.8,257,36.9,157,25,179,26.9,117,17.1,74,12.2,104,14.7,63,10.6,,,67,8.8,,,,,,,,,,,,,,
212,Williamsbridge and Baychester,4419,5.9,1338,177.8,1075,142.3,202,27,180,23.9,147,19.9,149,19.8,85,11.3,80,10.6,,,89,11.4,,,,,,,82,11,,,,,,,,
301,Greenpoint and Williamsburg,4072,6.2,1350,211.3,945,147.7,204,32.1,189,29.6,113,17.9,133,20.7,88,11.8,74,11.5,76,8.7,,,,,67,9.9,,,,,,,,,,,,
302,Fort Greene and Brooklyn Heights,3004,6.5,1085,234.4,721,158.9,153,33.5,125,27.3,98,21.3,73,15.6,50,9.7,60,13,39,7.5,39,8.1,,,,,,,,,,,,,,,,
303,Bedford Stuyvesant,4915,7.9,1576,267.8,1099,176.8,222,38.3,276,45.3,134,22.4,142,22.9,,,132,21.9,94,12.4,171,23.1,,,,,,,125,15.6,,,,,,,,
304,Bushwick,2468,6.4,749,210.7,541,137.6,83,23.6,131,35.2,62,17.6,70,17.9,56,11.3,59,16.4,57,10.4,64,12.5,,,56,12.5,,,,,,,,,,,,
