"Community Health Survey data - non-age adjusted, 2011-2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Self_Rep_Health,Self_Rep_Health_Rank,SRH 95%CI LL ,SRH 95%CI UL,Smoking,Smoking_Rank,Smoke 95%CI LL,Smoke 95%CI UL,Sugary_Drink,Sugary_Drink_Rank,ssb 95%CI LL,ssb 95%CI UL,Fruit_Veg,Fruit_Veg_Rank,fruitveg 95%CI LL,fruitveg 95%CI UL,Exercise,Exercise_Rank,Ex 95%CI LL,Ex 95%CI UL,Obesity,Obesity_Rank,Ob 95%CI LL,Ob 95%CI UL,Diabetes,Diabetes_Rank,Diab 95%CI LL,Diab 95%CI UL,Uninsured,Uninsured_Rank,Uninsured 95%CI LL,Uninsured 95%CI UL,Didnt_Get_Care,Didnt_Get_Care_Rank,DGC 95%CI LL,DGC 95%CI UL,Flu_Vaccination,Flu_Vaccination_Rank,Flu 95%CI LL,Flu 95%CI UL,HIV_Testing_Ever,HIV_Testing_Ever_Rank,HIV 95%CI LL,HIV 95%CI UL
112,Washington Heights and Inwood,74,44,68.3,78.5,12,55,8.2,16.9,32,24,25.6,38.4,89,25,84.3,92.2,78,20,72.9,83.0,22,39,17.3,27.1,9,39,7.1,11.6,22,24,16.6,28.3,16,4,11.7,21.6,36,46,30.1,41.7,71,17,64.3,76.3
201,Mott Haven and Melrose,71,48,64.8,77.0,16,25,12.3,21.3,40,5,32.8,46.9,77,58,70.6,82.4,71,53,65.3,76.8,32,12,25.8,38.2,13,15,9.8,17.2,24,11,18.1,31.7,17,2,12.3,23.9,49,2,42.1,56.6,80,5,72.6,85.6
202,Hunts Point and Longwood,71,48,64.8,77.0,16,25,12.3,21.3,40,5,32.8,46.9,77,58,70.6,82.4,71,53,65.3,76.8,32,12,25.8,38.2,13,15,9.8,17.2,24,11,18.1,31.7,17,2,12.3,23.9,49,2,42.1,56.6,80,5,72.6,85.6
203,Morrisania and Crotona,69,55,61.2,76.7,20,6,14.1,26.4,42,3,33.0,51.6,79,55,71.0,85.3,73,49,66.2,78.3,35,3,28.5,42.0,14,8,10.0,18.5,24,14,17.5,31.7,12,22,7.8,17.9,46,7,39.0,53.5,83,3,75.9,87.7
204,Highbridge and Concourse,71,50,62.7,77.3,18,13,13.0,24.4,38,9,29.8,46.0,80,53,72.8,85.0,73,46,65.9,79.0,29,24,23.0,35.1,14,10,10.0,18.3,28,6,20.4,36.3,12,18,8.1,18.0,48,5,40.9,55.1,83,2,77.3,87.9
205,Fordham and University Heights,72,47,63.3,79.0,19,10,13.3,25.6,46,1,36.8,54.6,80,52,72.4,85.7,74,41,67.3,79.3,30,17,22.9,38.3,12,22,7.9,18.0,27,7,19.0,37.5,14,9,9.7,20.7,45,9,36.8,54.0,87,1,78.3,92.2
206,Belmont and East Tremont,69,55,61.2,76.7,20,6,14.1,26.4,42,3,33.0,51.6,79,55,71.0,85.3,73,49,66.2,78.3,35,3,28.5,42.0,14,8,10.0,18.5,24,14,17.5,31.7,12,22,7.8,17.9,46,7,39.0,53.5,83,3,75.9,87.7
207,Kingsbridge Heights and Bedford,74,42,64.8,81.5,13,49,8.0,20.8,39,7,30.2,47.7,81,50,71.7,87.7,76,36,66.6,82.8,27,30,18.9,36.4,14,11,7.2,23.9,30,4,20.2,41.9,11,27,7.1,18.0,45,10,35.6,54.8,72,15,62.2,80.0
208,Riverdale and Fieldston,81,23,75.0,86.5,12,53,8.0,17.4,21,46,15.4,28.9,87,34,80.1,92.0,77,29,69.2,83.7,20,41,14.9,25.9,7,48,4.0,11.4,19,33,12.8,28.5,11,35,7.2,15.2,51,1,43.3,57.7,64,30,56.0,71.2
209,Parkchester and Soundview,72,45,64.8,78.4,16,29,11.1,21.7,37,11,29.8,44.3,78,57,70.1,84.4,75,38,67.5,80.6,29,20,22.8,36.2,13,17,9.1,18.1,25,9,19.3,32.8,14,12,9.1,20.2,42,19,35.2,49.5,79,9,72.8,84.7
210,Throgs Neck and Co-op City,77,36,69.8,83.2,18,17,11.7,25.5,26,32,18.8,35.0,89,27,82.3,92.8,73,48,64.7,79.7,36,1,28.4,44.2,19,1,13.3,25.1,10,58,5.4,16.5,10,38,6.1,16.1,43,15,35.6,51.4,57,46,48.4,64.5
211,Morris Park and Bronxdale,76,38,64.4,85.0,17,22,10.6,25.3,29,29,19.2,40.2,82,48,71.8,88.4,73,44,63.6,81.3,32,10,23.2,42.1,15,6,8.7,23.4,16,39,9.6,26.4,12,24,6.1,21.9,43,17,31.0,55.4,69,21,59.2,77.2
212,Williamsbridge and Baychester,78,34,71.3,83.1,14,43,9.6,19.3,37,12,28.3,45.6,85,41,78.5,89.7,78,19,71.7,83.9,35,2,28.5,42.9,11,30,7.0,16.8,22,23,16.1,30.2,12,21,7.7,18.4,40,29,32.7,47.8,77,11,70.4,82.5
301,Greenpoint and Williamsburg,80,30,74.1,84.2,20,5,14.3,26.4,21,47,16.0,27.5,88,31,81.6,92.1,76,32,70.4,81.5,23,37,17.2,29.4,8,44,5.6,11.4,20,31,13.8,28.4,13,16,8.5,18.2,28,59,22.4,33.5,63,31,56.0,70.3
302,Fort Greene and Brooklyn Heights,87,6,81.0,91.2,19,8,12.5,29.0,18,53,11.7,26.5,91,16,84.5,95.3,81,9,73.3,87.0,19,44,13.1,26.4,7,51,4.0,10.7,11,51,6.1,20.3,13,13,7.9,21.4,35,51,26.7,43.4,68,24,58.2,77.2
